Beskrivning KN,Category,Varuimport 2016 (ton),Varuimport 2019 (ton),Varuimport 2023 (ton),Varuexport 2016 (ton),Varuexport 2019 (ton),Varuexport 2023 (ton),Varuproduktion 2016 (ton),Varuproduktion 2019 (ton),Varuproduktion 2023 (ton),Satt pa marknaden 2016 (ton),Satt pa marknaden 2019 (ton),Satt pa marknaden 2023 (ton)
"Melaminplaster, i obearbetad form","Aminoplaster, fenoplaster och polyuretaner i obearbetad form",6737,8413,12170,4699,8024,12380,6165,4749,DS,8203,5138,DS
"Aminoplaster i obearbetad form (ex kl. karbamidplaster, tiokarbamid- plaster och melaminplaster)","Aminoplaster, fenoplaster och polyuretaner i obearbetad form",9145,0,0,5019,0,0,99,0,DS,4225,0,DS
"Polymety lenfenylisocyanat obearbetad MDI, MDI-polymer, i obearbetad form","Aminoplaster, fenoplaster och polyuretaner i obearbetad form",0,4089,2950,0,549,223,0,0,DS,0,3540,DS
"Aminoplasteri obearbetad form (ekl. karbamidplaster tiokarbamid- plaster melaminplaster och polymetylenfenylisocyanat obearbetad MDI, MDI-polymer)","Aminoplaster, fenoplaster och polyuretaner i obearbetad form",0,6171,6353,0,5576,4573,0,0,0,0,595,1780
Fenoplaster i obearbetad form,"Aminoplaster, fenoplaster och polyuretaner i obearbetad form",12897,12460,12759,21950,19908,17138,24264,19653,DS,15211,12205,DS
Polyuretaner i obearbetad form,"Aminoplaster, fenoplaster och polyuretaner i obearbetad form",9492,12589,14483,2030,2274,3027,5640,1647,DS,13102,11962,DS
Silikoner i obearbetad form,Silikoner i obearbetad form,6863,10159,9718,1073,747,759,256,274,DS,6046,9686,DS
"Petroleumhartser, umaronhartser. indenhartser och kumaroninden- hartser samt polyterpener i obearbetad form","Petroleumhartser kumaronindenhartser polyterpener polysulfider polysulfoner och andra genom kemisk syntes framstallda polymerer och prepolymerer i.an., i obearbetad form",11789,12120,8799,848,265,491,0,0,0,10941,11855,8308
"Poly13-fenylenmety lfosfonat, i obearbetad form","Petroleumhartser kumaronindenhartser polyterpener polysulfider polysulfoner och andra genom kemisk syntes framstallda polymerer och prepolymerer i.an., i obearbetad form",0,0,1,0,0,0,0,0,0,0,0,1
Polysulfider polysulfoner och andra genom kemisk syntes framstallda polymerer och prepolymerer i.a.n.. i obearbetad form,"Petroleumhartser kumaronindenhartser polyterpener polysulfider polysulfoner och andra genom kemisk syntes framstallda polymerer och prepolymerer i.an., i obearbetad form",6209,6111,5588,2568,2327,2689,1936,1467,DS,5577,5251,DS
Cellulosaacetater inte mjukejorda. i obearbetad form,"Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",32,27,31,90,105,5,0,0,0,-58,78,26
"Cellulosaacetater, mjukgjorda, i obearbetad form","Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",98,28,12,0,0,2,0,0,0,98,28,10
"Cellulosanitrater,inkl. kollodium, i obearbetad form","Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",1406,1333,1448,69,81,47,0,0,DS,1337,1252,DS
"Karboximety lcellulosa och salter av detta amne,i obearbetad form","Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",1918,2787,1595,109,207,167,0,0,0,1809,2580,1428
Cellulosaetrar i obearbetad form (exklkarboximetyicellulosa och salter av detta amne),"Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",2556,2935,1678,25311,25729,20581,24587,26108,DS,1832,3314,DS
"Cellulosa ochkemiska cellulosa- derivat, i.a.n., i obearbetad form (exkl. cellulosaacetatercellulosa- nitrater och cellulosaetrar)","Cellulosa och kemisko cellulosgderivatia.n., i obeorhetad form",1920,2370,3174,237,146,993,40,1,DS,1723,2225,DS
"Alginsyra samt salter och estrar av alginsyra, i obearbetad form","Polymerer noturtigo till exempel alginsyra, och modifierade naturliga polymerer till exempel hdrdode proteiner och kemisko derivot av naturgummiian., i obeorbetod form",94,94,137,3,16,23,0,0,0,91,78,114
"Polymerer, naturliga, till exempel alginsyra, och modifierade naturliga polymerer, till exempel hardade proteiner och kemiska derivat avnaturgummi,i.a.n., i obearbetad form (exkl. alginsyra samt salter och estrar av alginsyra)","Polymerer noturtigo till exempel alginsyra, och modifierade naturliga polymerer till exempel hdrdode proteiner och kemisko derivot av naturgummiian., i obeorbetod form",4984,3880,897,1016,835,894,6879,1419,DS,10847,4464,DS
Jonbytare pa basis ay polymerer enligt nr 3901 till 3913. i obearbetad form,Jonbytore pa basis ov polymerer enligt nr 39o1 till 3913.i obearbetod form,906,682,416,299,372,529,323,51407,DS,930,51717,DS
Summa,,1259035,1281384,118630,1152699,1157162,1088182,1203170,1152475,1046283,1309506,1276697,1076731
