City,Name,"Fuel (W=waste, B=biomass)",Heat output (MWheat),Electric output (MWe),Existing FGC heat output (MWheat),Year of commissioning,Live steam temperature (degC),Live steam pressure (bar),Latitude,Longitude,mean_captured,Size,Origin,Route_Length,density_bio,density_w2e
Vasteras,Vasteras Block 6 ,W,110.0,48.5,30,2014,470,75,59.62893913092603,16.51008522215848,319.58847056711073,151.33521445595738,Stockholm/Norvik,1521.1,,0.8102
Vastervik,Stegeholmsverket,W,15.0,5.0,4,2013,410,40,57.7628105222303,16.62514068463732,40.319575466891386,13.814228291638601,Stockholm/Norvik,1521.1,,0.0336
orebro,SAKAB Kumla ,W,35.0,6.1,9,2003,350,16,59.277106110708615,15.243655365848817,83.38979418068655,35.02338926786705,Stockholm/Norvik,1521.1,,0.3104
Boras,Sobacken,B,74.0,42.0,32,2018,540,140,57.68340530213095,12.932511355588836,208.08733926378355,96.42847115478152,Goteborg,616.6,0.7177142857142857,
Boras,Ryaverket G1,B,50.0,20.0,0,1965,500,50,57.731022409104376,12.967038665671632,125.57985008659749,55.79912976852854,Goteborg,616.6,0.554,
Enkoping,Enkoping KVV,B,45.0,24.0,15,1995,540,100,59.64532766782523,17.07335068276123,123.86795369168932,54.95613692339114,Stockholm/Norvik,1521.1,0.43955555555555553,
Eskilstuna,Eskilstuna KVV,B,71.0,35.5,25,2000,540,139,59.38149207333199,16.497443518020937,189.65198933755323,87.35031190890601,Stockholm/Norvik,1521.1,0.6604444444444444,
Falun,Vastermalmsverket 1 ,B,23.0,7.5,9,1993,510,63,60.60753672879682,15.611404519603015,54.42120375496926,20.75832361597893,Sundsvall,1874.9,0.1382857142857143,
Falun,Vastermalmsverket 2 ,B,22.0,8.0,9,2006,500,70,60.60753672879682,15.611404519603015,53.13978691281216,20.127312748271045,Sundsvall,1874.9,0.13733333333333334,
Gallivare,Gallivare KVP3,B,21.0,9.0,5,2011,485,80,67.14781371606058,20.644639153586056,53.71093237659546,20.408563144576622,Lulea,2321.3,0.10342857142857143,
Gavle,Johannes KVV,B,42.0,23.0,23,2000,480,90,60.63167111336092,17.132657627099963,116.83463821796258,51.49270616929817,Sundsvall,1874.9,0.343,
Goteborg,Savenas HP3 ,B,82.0,13.0,25,2011,360,23,57.73136971459719,12.04674275603926,172.47104606684215,78.88986284610041,Goteborg,616.6,0.7866666666666666,
Halmstad,Oceanen P5 ,B,14.3,3.2,5,2008,480,56,56.65191466034353,12.861033875493163,31.544210683483232,9.4929564273558,Malmo,936.2,0.08628571428571429,
